epoch,train_loss,val_loss,meanIoU,meanDice,precision,recall,accuracy
19.0,1.2471013069152832,1.4587225914001465,0.1016896590590477,0.17707346379756927,"[tensor([0.1177], device='cuda:0')]","[tensor([0.4938], device='cuda:0')]","[tensor([0.7091], device='cuda:0')]"
20.0,1.2249300479888916,1.4380135536193848,0.11857297271490097,0.2020227611064911,"[tensor([0.1387], device='cuda:0')]","[tensor([0.5299], device='cuda:0')]","[tensor([0.7402], device='cuda:0')]"
21.0,1.202201008796692,1.4184391498565674,0.13483144342899323,0.22508203983306885,"[tensor([0.1579], device='cuda:0')]","[tensor([0.5585], device='cuda:0')]","[tensor([0.7637], device='cuda:0')]"
22.0,1.178267478942871,1.3985180854797363,0.1506403684616089,0.24666495621204376,"[tensor([0.1755], device='cuda:0')]","[tensor([0.5851], device='cuda:0')]","[tensor([0.7814], device='cuda:0')]"
23.0,1.1523915529251099,1.3758670091629028,0.16562074422836304,0.26626911759376526,"[tensor([0.1918], device='cuda:0')]","[tensor([0.6045], device='cuda:0')]","[tensor([0.7967], device='cuda:0')]"
24.0,1.1257039308547974,1.3639280796051025,0.17842592298984528,0.2818213105201721,"[tensor([0.2033], device='cuda:0')]","[tensor([0.6186], device='cuda:0')]","[tensor([0.8062], device='cuda:0')]"
25.0,1.1010727882385254,1.304835557937622,0.19945746660232544,0.30915766954421997,"[tensor([0.2355], device='cuda:0')]","[tensor([0.6762], device='cuda:0')]","[tensor([0.8259], device='cuda:0')]"
26.0,1.0917890071868896,1.3244925737380981,0.21276554465293884,0.3215264678001404,"[tensor([0.2332], device='cuda:0')]","[tensor([0.6950], device='cuda:0')]","[tensor([0.8210], device='cuda:0')]"
27.0,1.0580579042434692,1.3331615924835205,0.22568468749523163,0.33363986015319824,"[tensor([0.2365], device='cuda:0')]","[tensor([0.7484], device='cuda:0')]","[tensor([0.8156], device='cuda:0')]"
28.0,1.0360021591186523,1.2337093353271484,0.2530944347381592,0.37206801772117615,"[tensor([0.2864], device='cuda:0')]","[tensor([0.7882], device='cuda:0')]","[tensor([0.8496], device='cuda:0')]"
29.0,1.0224227905273438,1.3011475801467896,0.22704067826271057,0.3348221480846405,"[tensor([0.2356], device='cuda:0')]","[tensor([0.8384], device='cuda:0')]","[tensor([0.8008], device='cuda:0')]"
30.0,1.022294521331787,1.2531814575195312,0.27488502860069275,0.39007511734962463,"[tensor([0.2825], device='cuda:0')]","[tensor([0.8677], device='cuda:0')]","[tensor([0.8386], device='cuda:0')]"
31.0,0.9796780347824097,1.252105951309204,0.2632231116294861,0.382634699344635,"[tensor([0.2645], device='cuda:0')]","[tensor([0.9090], device='cuda:0')]","[tensor([0.8191], device='cuda:0')]"
32.0,0.9974815249443054,1.413253664970398,0.24568399786949158,0.35282984375953674,"[tensor([0.2239], device='cuda:0')]","[tensor([0.9297], device='cuda:0')]","[tensor([0.7724], device='cuda:0')]"
33.0,0.9604072570800781,1.2701669931411743,0.2605702877044678,0.3696376085281372,"[tensor([0.2489], device='cuda:0')]","[tensor([0.9188], device='cuda:0')]","[tensor([0.8028], device='cuda:0')]"
34.0,0.9581141471862793,1.0545759201049805,0.38061752915382385,0.5121952295303345,"[tensor([0.4413], device='cuda:0')]","[tensor([0.9149], device='cuda:0')]","[tensor([0.9141], device='cuda:0')]"
35.0,0.9281987547874451,1.0285295248031616,0.4192706048488617,0.5618001818656921,"[tensor([0.5152], device='cuda:0')]","[tensor([0.8678], device='cuda:0')]","[tensor([0.9344], device='cuda:0')]"
36.0,0.9247690439224243,1.1408491134643555,0.35357576608657837,0.47067874670028687,"[tensor([0.3463], device='cuda:0')]","[tensor([0.9520], device='cuda:0')]","[tensor([0.8725], device='cuda:0')]"
37.0,0.8975663185119629,1.3343827724456787,0.289310097694397,0.40074285864830017,"[tensor([0.2620], device='cuda:0')]","[tensor([0.9649], device='cuda:0')]","[tensor([0.8097], device='cuda:0')]"
38.0,0.8907370567321777,1.273146152496338,0.2767593562602997,0.3897077441215515,"[tensor([0.2574], device='cuda:0')]","[tensor([0.9691], device='cuda:0')]","[tensor([0.8047], device='cuda:0')]"
39.0,0.8781466484069824,1.1165335178375244,0.3225899338722229,0.44469577074050903,"[tensor([0.3228], device='cuda:0')]","[tensor([0.9739], device='cuda:0')]","[tensor([0.8570], device='cuda:0')]"
40.0,0.8679318428039551,1.0100579261779785,0.39125096797943115,0.5194283723831177,"[tensor([0.4072], device='cuda:0')]","[tensor([0.9758], device='cuda:0')]","[tensor([0.9001], device='cuda:0')]"
41.0,0.8567299842834473,1.0659499168395996,0.37981653213500977,0.49952608346939087,"[tensor([0.3686], device='cuda:0')]","[tensor([0.9737], device='cuda:0')]","[tensor([0.8829], device='cuda:0')]"
42.0,0.8372305631637573,1.0358489751815796,0.4077095091342926,0.5257605314254761,"[tensor([0.4019], device='cuda:0')]","[tensor([0.9744], device='cuda:0')]","[tensor([0.8980], device='cuda:0')]"
43.0,0.8276462554931641,0.8750460743904114,0.5333709716796875,0.6661661863327026,"[tensor([0.6176], device='cuda:0')]","[tensor([0.9757], device='cuda:0')]","[tensor([0.9566], device='cuda:0')]"
44.0,0.8135722279548645,0.8443634510040283,0.5923699140548706,0.7210634350776672,"[tensor([0.6894], device='cuda:0')]","[tensor([0.9717], device='cuda:0')]","[tensor([0.9678], device='cuda:0')]"
45.0,0.8088172674179077,0.8353428244590759,0.6092931032180786,0.7338074445724487,"[tensor([0.6960], device='cuda:0')]","[tensor([0.9765], device='cuda:0')]","[tensor([0.9689], device='cuda:0')]"
46.0,0.7980843186378479,0.8358907699584961,0.6044371724128723,0.7288764119148254,"[tensor([0.6818], device='cuda:0')]","[tensor([0.9795], device='cuda:0')]","[tensor([0.9670], device='cuda:0')]"
47.0,0.7899234890937805,0.80951327085495,0.6352025270462036,0.7588152885437012,"[tensor([0.7200], device='cuda:0')]","[tensor([0.9831], device='cuda:0')]","[tensor([0.9724], device='cuda:0')]"
48.0,0.7753251791000366,0.7913675904273987,0.6589845418930054,0.7822474241256714,"[tensor([0.7490], device='cuda:0')]","[tensor([0.9852], device='cuda:0')]","[tensor([0.9762], device='cuda:0')]"
49.0,0.7678243517875671,0.7946698069572449,0.6315818428993225,0.758948802947998,"[tensor([0.7191], device='cuda:0')]","[tensor([0.9907], device='cuda:0')]","[tensor([0.9726], device='cuda:0')]"
50.0,0.7574779391288757,0.8405711054801941,0.5318111777305603,0.6609280705451965,"[tensor([0.5915], device='cuda:0')]","[tensor([0.9917], device='cuda:0')]","[tensor([0.9521], device='cuda:0')]"
51.0,0.7515041828155518,0.8010722994804382,0.5901190638542175,0.717515230178833,"[tensor([0.6674], device='cuda:0')]","[tensor([0.9928], device='cuda:0')]","[tensor([0.9653], device='cuda:0')]"
52.0,0.7416278123855591,0.7549773454666138,0.6936713457107544,0.8085595965385437,"[tensor([0.7754], device='cuda:0')]","[tensor([0.9926], device='cuda:0')]","[tensor([0.9796], device='cuda:0')]"
53.0,0.7348496317863464,0.7583786249160767,0.676970362663269,0.7932937741279602,"[tensor([0.7573], device='cuda:0')]","[tensor([0.9948], device='cuda:0')]","[tensor([0.9776], device='cuda:0')]"
